run,indices,signs,results
74,"[8123, 9418, 8782, 1885, 4436, 3105, 1515, 536, 443, 944]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9993977281032245, 0.9938592043116637, 0.9709928815190932, 0.951379423694953, 0.9165445076158352, 0.8961688679461197, 0.8699682252777625, 0.8797067038062893, 0.791505927442119, 0.7764237939218183]"
75,"[8316, 215, 6994, 1563, 4751, 8200, 1992, 2011, 704, 999]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9904013073602921, 0.9684566196710594, 0.96329034848279, 0.9403028249237144, 0.9163217993468719, 0.8505814137007307, 0.780873388562829, 0.7429306386496288, 0.6264020327016026, 0.5847181951705479]"
76,"[9016, 3651, 5832, 8575, 9234, 1438, 9000, 9716, 4180, 8467]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.985484245495993, 0.9719697559039355, 0.9396199178254407, 0.9089362347879926, 0.8941406830308942, 0.8276630224436168, 0.8103556398490948, 0.7966282661748733, 0.745149064503988, 0.7066883895047125]"
77,"[3276, 5420, 1088, 1313, 1909, 1823, 1252, 4294, 6415, 2009]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969929915422073, 0.9969483537111363, 0.9846434132233541, 0.9768520913503986, 0.940575744679752, 0.9364834009021986, 0.8734720528849715, 0.8233122622707203, 0.7857242287260748, 0.7593286986959276]"
78,"[1249, 3795, 4154, 2029, 4586, 2338, 475, 4066, 7139, 5966]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.996401581489474, 0.9893257103447213, 0.9758802148221073, 0.969425463043317, 0.922196236430949, 0.8918754545695655, 0.8460137751982929, 0.8110044794832569, 0.7647625212629003, 0.7569649253740645]"
79,"[9329, 6763, 4735, 512, 5217, 2815, 2501, 4930, 4986, 5431]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939752404186605, 0.9879855403001885, 0.9680497348157875, 0.9312509826383584, 0.9134442569450403, 0.8810093855213219, 0.8417218862264588, 0.79338856775248, 0.7533803409998886, 0.7086423499258339]"
80,"[5586, 976, 2933, 4603, 8377, 7532, 6907, 3698, 1132, 5428]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.9963943068910439, 0.978109601004995, 0.9668269638414341, 0.9219061863194442, 0.8801237701596762, 0.8480983795034879, 0.8127318373893906, 0.7788680575447956, 0.7192845841527284, 0.6760813247902859]"
81,"[779, 3138, 5076, 837, 1027, 1302, 6277, 5708, 831, 9173]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9987903709405273, 0.9875519732807175, 0.9806444810355084, 0.9695363966139007, 0.9675238886426841, 0.9478103582282712, 0.9170755656264278, 0.8919328308427872, 0.8756465447300508, 0.8518958309774101]"
82,"[8889, 9535, 9047, 8434, 9730, 1608, 7251, 5328, 4904, 3242]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9981276957541588, 0.9963296575123868, 0.9890778075810835, 0.9760467905327137, 0.9494110134142553, 0.8977943247102991, 0.845679393854156, 0.8000369886291996, 0.77348452435968, 0.7400165141981231]"
83,"[1957, 1010, 6873, 3178, 8590, 2558, 9387, 4651, 5346, 3684]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993977281032678, 0.9934288333142389, 0.9681529507794762, 0.9518775916134553, 0.9489277317237165, 0.9167349201215724, 0.8871985797809114, 0.879050316529832, 0.8120939034583534, 0.7806745046355876]"
84,"[7729, 8219, 9896, 9032, 4755, 4873, 101, 8129, 4290, 5799]","[1, 1, 1, -1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9939953567224649, 0.9846137501126149, 0.9698166590559685, 0.9579774298550165, 0.9610992402718379, 0.9327698755104729, 0.9196136486647466, 0.8567073021713695, 0.8125826851352546, 0.7679338877992974]"
85,"[5065, 5520, 6686, 3632, 8054, 7461, 5441, 250, 117, 1736]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963943417182315, 0.9729937005915764, 0.9667521912798736, 0.9534511520329967, 0.9304530880360865, 0.8859069759199905, 0.8428468342964821, 0.7992288206263991, 0.74482080074153, 0.6940726588135633]"
86,"[9823, 3, 9231, 4594, 8558, 9608, 7199, 2703, 2855, 4741]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969929915410316, 0.9919249993447243, 0.9591955500870601, 0.9493462505754844, 0.9196973704573488, 0.8865163573868968, 0.8758436285398695, 0.8488117867547997, 0.8082679175191598, 0.7740464601810599]"
87,"[3859, 5427, 9365, 8099, 3693, 3529, 9270, 1217, 2917, 2466]","[1, 1, -1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9938683927664428, 0.9652734641458731, 0.0594099308524329, 0.0792686974954423, 0.09756586289498254, 0.1453820110397312, 0.13993597000678742, 0.15593329108314374, 0.19639693905195, 0.25398807100402904]"
88,"[672, 6642, 2559, 576, 1354, 4726, 3789, 6456, 6710, 723]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9933974661673671, 0.9868056689040184, 0.9633584053124579, 0.9237457233833144, 0.9201788296429184, 0.8883330579383053, 0.8496446056206024, 0.8031182643719628, 0.730708250491878, 0.6266631455184062]"
89,"[9997, 221, 4399, 1583, 9415, 1875, 4322, 2157, 3078, 6763]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939238823340114, 0.9777051756464514, 0.9645053575712869, 0.93566775729968, 0.9120894705064152, 0.8820892273851271, 0.8127715300432277, 0.739775289585396, 0.6365207699303945, 0.6156154615733488]"
90,"[7428, 6752, 5383, 2144, 4786, 806, 4981, 3918, 7422, 1725]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963943417179423, 0.9933974661682363, 0.9576764511967819, 0.93522399110709, 0.935760196447976, 0.896161066382286, 0.8581042384299914, 0.8245076261063535, 0.7827488237025779, 0.7587208385407922]"
91,"[9531, 8051, 8441, 6787, 5205, 7649, 3625, 5462, 2360, 3799]","[1, 1, 1, 1, 1, -1, 1, -1, 1, 1]","[1.0, 0.9970030713844872, 0.9915063149251472, 0.9633547514861469, 0.9287590046225322, 0.909386605309705, 0.8423413194976264, 0.7255121659477444, 0.7139476954600011, 0.6572288121422456, 0.574878749550939]"
92,"[36, 6061, 4458, 2298, 6939, 2123, 6505, 4700, 1726, 5055]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9921979927516964, 0.9765129935352266, 0.9489910489739026, 0.9353393665968783, 0.9304985430367606, 0.9139435660188379, 0.905970785947193, 0.8568755500069092, 0.8258811461669038, 0.7770849027069768]"
93,"[1274, 7046, 3535, 8877, 4703, 2323, 3964, 3076, 7302, 9077]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969929915425386, 0.9903019430401452, 0.9788252614308791, 0.9728929721605881, 0.961759885665284, 0.9327786328875005, 0.8976728066172281, 0.8200038377868575, 0.7678947429706385, 0.7286588933894643]"
94,"[4392, 7707, 3011, 4462, 1536, 6380, 982, 5682, 1201, 7911]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9945725768890337, 0.9913176373212909, 0.979798196434714, 0.9443103218295991, 0.9375952994877619, 0.9252761319553114, 0.8793494576390666, 0.8510121884076698, 0.8083244245104959, 0.7495614347112298]"
95,"[193, 6733, 9362, 6666, 1532, 6747, 6244, 5451, 3289, 4633]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987990240008454, 0.9839501010506578, 0.9611751151083676, 0.9407565251677252, 0.8714112245651646, 0.8202854272678526, 0.7728467721231475, 0.6983041412692946, 0.6591405104407257, 0.596706106988969]"
96,"[9832, 1046, 777, 6635, 4518, 8587, 2671, 78, 1577, 8305]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9916224025948807, 0.9808718426922031, 0.9507989476719807, 0.9316793139073909, 0.9218981065545547, 0.8949189454173601, 0.8689062262323902, 0.8354770986372175, 0.8037877420890456, 0.7483523150057257]"
97,"[8010, 3585, 8922, 6461, 2835, 6231, 8786, 3442, 8403, 3270]","[1, 1, 1, 1, 1, -1, 1, 1, -1, -1]","[1.0, 0.994050761032691, 0.9870296284838168, 0.9634589375432892, 0.9396970880446154, 0.9076034759161985, 0.8588339540993009, 0.8398477165266351, 0.7923302918318644, 0.7249171022132433, 0.7354099309342317]"
98,"[7289, 4479, 1256, 9882, 2762, 8434, 3460, 7961, 226, 1916]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9850213919223105, 0.9608000207624554, 0.9460863809829666, 0.9246931766507178, 0.9227993764104528, 0.8981739295014892, 0.8227947266894768, 0.7765669251776266, 0.7589036179218636, 0.6755585075185611]"
99,"[6162, 1754, 6392, 1675, 2540, 8827, 615, 7693, 6836, 3382]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9880312656015179, 0.9655859439948885, 0.950082121004298, 0.9173452607052022, 0.902110521631968, 0.8568449437142265, 0.8399280430873285, 0.8219605386428445, 0.7338611127375443, 0.6280250281444957]"
100,"[8220, 4924, 4374, 4209, 5653, 2768, 183, 5163, 6596, 3464]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987933042113275, 0.9892032483588493, 0.9701785871017168, 0.9398619879400998, 0.926293526220574, 0.8864207029600926, 0.8235797809545045, 0.7777000838813596, 0.7520702732033501, 0.6811953555433814]"
101,"[2287, 7263, 24, 7864, 722, 6336, 8894, 3000, 6325, 1625]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9880426265974225, 0.9685034710546649, 0.9489931878256885, 0.9272322080459193, 0.9201992332162177, 0.8892681187302858, 0.8832443482267438, 0.8512594213153237, 0.7814085741989316, 0.7331864381510946]"
102,"[7327, 6140, 7876, 7371, 1437, 3537, 9906, 1044, 7273, 2960]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.998796181668143, 0.9939265970840783, 0.9823372064406, 0.9557581779906507, 0.92697336436022, 0.878443859269558, 0.86281648009333, 0.8447550039116266, 0.7944256322600194, 0.7466220076085878]"
103,"[16, 7990, 5454, 3603, 1964, 4465, 9448, 3995, 8197, 6056]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9945956076019151, 0.9897285530737182, 0.9704461066457402, 0.9626070189757123, 0.9336426972018022, 0.8831498633859141, 0.8508159709236625, 0.8168558772369829, 0.723261630137283, 0.693165858613499]"
104,"[4013, 8022, 5790, 5366, 6434, 2990, 5511, 7424, 4054, 1676]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9945956166665813, 0.9947185803795416, 0.9938273437784442, 0.991046430859565, 0.986987253412029, 0.968925670327901, 0.9509699756833181, 0.8381155150184745, 0.7957222394850283, 0.768392971432989]"
105,"[6243, 9657, 5244, 2881, 8938, 6097, 2676, 9405, 6947, 8513]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9970101373509369, 0.9897482624444298, 0.9884711200882974, 0.952248696739146, 0.9307947218013504, 0.8833146524882223, 0.8751715032663476, 0.8224688966616038, 0.7596557469993058, 0.73887138126702]"
106,"[771, 3205, 5141, 7598, 4415, 2592, 8946, 2462, 7163, 6539]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9970345995869625, 0.9882372267806692, 0.960735446393609, 0.9516499783351936, 0.9264415239107638, 0.9021466529450526, 0.8911878096469761, 0.825182704239239, 0.7878995257739639, 0.7443620782012556]"
107,"[1984, 499, 238, 190, 3047, 3436, 4087, 9583, 9020, 7159]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963856849821975, 0.9874526105312943, 0.9839239084836734, 0.9595903445925221, 0.9227805428716874, 0.912799970826873, 0.8773049822613677, 0.8508769813854036, 0.7971999847547201, 0.7568436757756218]"
108,"[4848, 5779, 788, 9431, 2838, 8943, 4484, 1027, 5055, 9459]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9963943417184897, 0.978160168426141, 0.9702904940828407, 0.9566010870671853, 0.9491468160414923, 0.9304245525927852, 0.921660522312358, 0.9160560935186344, 0.8742882954236989, 0.7726713010243834]"
109,"[6476, 6050, 4611, 346, 4420, 6144, 2520, 9915, 4333, 8644]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963829430581421, 0.996188443759131, 0.9686008639393107, 0.9023201566568562, 0.8572193879850185, 0.7856338172629109, 0.7076306582512312, 0.6909413575564212, 0.5995823060699971, 0.5761443637481555]"
110,"[6254, 3139, 3729, 4989, 5353, 4613, 7293, 8153, 5459, 1250]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969973451419258, 0.9983014113551932, 0.9987238890467778, 0.9944021745581453, 0.9869251998121383, 0.9595245372622547, 0.9277633512702952, 0.8999051255094912, 0.8702773830700964, 0.7850015355641106]"
111,"[2674, 7357, 6166, 9230, 1203, 7583, 6797, 1506, 1638, 5401]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9921895182308478, 0.9898335666935467, 0.9810778384182083, 0.9365332763103779, 0.9339494199348835, 0.904055653539392, 0.8388504227108564, 0.8061117184904865, 0.7210473320837452, 0.6514469921227]"
112,"[7277, 1513, 1230, 6766, 9857, 5349, 3972, 449, 7945, 584]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9897983699208708, 0.9756444583169623, 0.9607646493989296, 0.9488495095039053, 0.935649387616887, 0.9045627069019253, 0.8550482779969493, 0.8275183568611, 0.7950610801196987, 0.779534860857068]"
113,"[654, 9028, 2516, 2987, 8925, 6953, 7861, 7017, 7821, 3400]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939925014751962, 0.98095428042731, 0.9630509748414323, 0.928616164681484, 0.9168819935217978, 0.8498596945454295, 0.7629758144975851, 0.6876003889304573, 0.5733761623281308, 0.5498446174043604]"
114,"[6072, 3612, 4555, 2471, 7082, 8492, 639, 4360, 1973, 921]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.989814938917742, 0.9698202870383756, 0.9613861474247594, 0.9525098121293808, 0.9336407516621467, 0.9000328787660693, 0.8449674702917175, 0.7486734924185571, 0.7008110938519345, 0.6413027170526207]"
115,"[1624, 8360, 5169, 372, 6752, 6438, 5634, 1573, 4844, 4109]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9951963201020693, 0.9721714555288887, 0.8934335850066726, 0.8682214359900682, 0.8544285006724173, 0.8153861118437635, 0.7762748681120153, 0.7245902293921355, 0.7127341859849824, 0.6690713267031858]"
116,"[4198, 1975, 9394, 157, 6255, 4211, 380, 7135, 8763, 4437]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969944468176413, 0.9755630601890053, 0.9375996738606337, 0.8935364844872103, 0.8753479875241987, 0.7810868037544871, 0.7287601535351274, 0.6460178986587279, 0.47883158073448134, 0.35594073842969237]"
117,"[5698, 194, 1638, 5581, 7341, 4842, 9860, 188, 3340, 5981]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9987961816679551, 0.989764179316819, 0.9644181713831297, 0.958872669999021, 0.9139571109469025, 0.8137420860331204, 0.7583256160273142, 0.7062477346849618, 0.6133629123421732, 0.6067822116716618]"
118,"[1579, 2216, 393, 220, 6786, 7866, 452, 2900, 5530, 3058]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.9945475507263923, 0.9772739446809613, 0.948293559856217, 0.9285674541429592, 0.8993893563463538, 0.87289873649362, 0.8235571255418175, 0.7574880677497904, 0.7229670740357439, 0.6414557205802384]"
119,"[27, 5139, 821, 4684, 7486, 5189, 7817, 6377, 4273, 2784]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987961816688322, 0.9963969661483923, 0.9888835384858595, 0.9649633432074849, 0.9478998621539871, 0.9180654129420037, 0.8658245367644649, 0.8203505280146886, 0.7899168317400905, 0.7524387943234604]"
120,"[532, 3257, 1634, 2500, 9646, 8472, 1823, 3314, 6147, 8794]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9915936227242447, 0.9661378837058916, 0.9337172780146359, 0.8917783946497293, 0.8465934925453475, 0.7880965049307809, 0.7839066099794243, 0.7198582579167322, 0.670373507584666, 0.6351874205476444]"
121,"[9240, 4731, 9458, 9575, 950, 5608, 5509, 9969, 4604, 6283]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9897706419114782, 0.9844351538197307, 0.9702399618636037, 0.9121208535494225, 0.8955240610636499, 0.8241400201779596, 0.7692022345707792, 0.7304328902275432, 0.645644609322822, 0.5967165166204386]"
122,"[8063, 7103, 3856, 1363, 5395, 8698, 7495, 7911, 7953, 1290]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9922626315793526, 0.9751887849588512, 0.9571393148516862, 0.932824365545634, 0.923866128099387, 0.9116720691508293, 0.8555140329691733, 0.7824152885862041, 0.7669586289902063, 0.7305591421276466]"
123,"[3145, 3657, 7263, 544, 9015, 7428, 3196, 1808, 4443, 5054]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.9921722526636796, 0.9845578074509154, 0.9652545721796904, 0.9422933741763699, 0.9079221558577864, 0.8706535341361087, 0.8330462283120736, 0.7680836645591075, 0.7619140238870181, 0.7251595057866767]"
124,"[9231, 5383, 5930, 3822, 6869, 1552, 3415, 4788, 4318, 150]","[-1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9837795637318352, 0.9361931227437019, 0.9104306029969982, 0.8971501457003062, 0.8467151484541358, 0.7734051564337796, 0.7277256578251806, 0.7177464389527823, 0.621562478003394, 0.5822708083254079]"
125,"[2753, 9625, 5006, 959, 3016, 1179, 6863, 3262, 8851, 691]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987527128989773, 0.9966046786141032, 0.995061021324797, 0.9904977133948878, 0.9720978805600338, 0.9539437622529654, 0.9242916339333845, 0.8876312370308381, 0.8522101338218995, 0.7805863441169861]"
126,"[9156, 3059, 218, 94, 7159, 9589, 1502, 7328, 3945, 2066]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993977281024435, 0.9933335352383512, 0.9737348801265527, 0.9495153031801151, 0.9140853476302999, 0.9016628411500968, 0.8297935888736772, 0.8073196099380047, 0.7753044533162481, 0.7410444250520214]"
127,"[206, 9532, 9887, 5214, 1752, 3003, 8513, 4802, 7976, 6621]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939925017685957, 0.9773076855327294, 0.9611876329110312, 0.959856679632533, 0.9599566370496864, 0.9149834705626618, 0.9106653434036385, 0.8451654324570919, 0.8030173317771164, 0.800562047881521]"
128,"[3175, 1398, 4760, 4024, 7393, 7149, 2714, 8851, 5166, 6766]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969688574455431, 0.9856673674808574, 0.9545138361614773, 0.9350578154310618, 0.9255755875774039, 0.8729279481966503, 0.7999761005206854, 0.7440019797477387, 0.684966019995371, 0.648702943407452]"
129,"[5778, 125, 370, 8861, 5602, 5912, 3084, 3073, 1805, 1916]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9921652441553006, 0.9800739246722237, 0.9535236521205455, 0.9103431064223779, 0.8924667457679856, 0.8765646779907721, 0.8323389252647209, 0.7795682562695723, 0.7739603538476217, 0.6945009546736646]"
130,"[2044, 7929, 6816, 1640, 6463, 1300, 5600, 7954, 8324, 8480]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993962799968884, 0.9988201490433191, 0.9930868536618013, 0.9930868536643639, 0.9801657658719731, 0.9543697173517902, 0.9466374407077258, 0.9353544437891377, 0.9077091658627979, 0.8764322907468908]"
131,"[5509, 5580, 7316, 1087, 9081, 5037, 9610, 8744, 6426, 847]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9940097874200999, 0.9868015433579695, 0.968300132067314, 0.8921133932483514, 0.8280161503809316, 0.7899612160430804, 0.7277595481647059, 0.7055907998736319, 0.6835490136810534, 0.6793563019587064]"
132,"[2267, 9228, 6317, 1599, 3745, 822, 6694, 5442, 9488, 4809]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9939910691393027, 0.9702208368998997, 0.9158086369663715, 0.8177881687377705, 0.8165517272801965, 0.7949964926325945, 0.7239653991894339, 0.6854225082986547, 0.6229179454295238, 0.515986849817723]"
133,"[2940, 5987, 8689, 2133, 6051, 8382, 8284, 74, 7340, 5555]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9945825192111944, 0.9897512725571285, 0.970262979732896, 0.938319819613874, 0.9402753078411192, 0.9073474990336446, 0.8783717287119934, 0.8001517376686156, 0.7830884653698913, 0.7685712122353734]"
134,"[454, 9933, 7693, 2132, 8832, 635, 608, 275, 9002, 5993]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963658437375542, 0.9677770255484315, 0.9560449614828377, 0.9539207684762487, 0.9385120105577502, 0.9232204620177589, 0.90120189005125, 0.8645955576252531, 0.8532616050521542, 0.8139064162511397]"
135,"[7738, 7130, 1950, 1257, 7999, 8005, 9090, 1237, 3398, 8854]","[-1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9981953598224768, 0.9962609060501386, 0.989454320516536, 0.9824017130545981, 0.9732243495898893, 0.9611952538422273, 0.9380825300681956, 0.9059047085579137, 0.8539227061955423, 0.8038831668092413]"
136,"[1838, 5064, 5595, 4275, 148, 7227, 3882, 3518, 4577, 3914]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969929915429019, 0.9938878232420734, 0.9610672103347186, 0.9465580933527009, 0.9023630181074135, 0.8382214013984253, 0.804735748223803, 0.7811872295404015, 0.7443061509513835, 0.6816489900641332]"
137,"[8994, 5970, 380, 1897, 8486, 7639, 2176, 259, 861, 8559]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993977281022197, 0.9898132430691562, 0.9776325450367771, 0.9664466494793384, 0.956465325268796, 0.9198342040810801, 0.8918381438621166, 0.8614510958171827, 0.8066087253410017, 0.7833847404544512]"
138,"[4346, 3375, 7492, 5993, 3245, 3277, 9745, 248, 3240, 3635]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9986503269354429, 0.9844793204313556, 0.9667766180748378, 0.9518392955161905, 0.8977806749134907, 0.8646812104114869, 0.7881264665140758, 0.7643091307097698, 0.7180597888743858, 0.6345159462403203]"
139,"[7835, 2233, 9031, 3278, 5660, 6511, 7130, 8979, 4355, 9721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969756816724473, 0.9963282427236073, 0.9891875728189945, 0.9826257398355001, 0.9517417790856055, 0.9138298849531936, 0.894721106353195, 0.872800148782521, 0.8249117614954865, 0.7642107699878598]"
140,"[7074, 9436, 1423, 9373, 6584, 3278, 9227, 7511, 4089, 3073]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9874261719068244, 0.9685605126858465, 0.9673686390886149, 0.9667352111273542, 0.9729159332288114, 0.9798744896183715, 0.9773617024768213, 0.9800707518604261, 0.9677011654145705, 0.936328894838319]"
141,"[2540, 9828, 8461, 8567, 4559, 1984, 7282, 7025, 4291, 957]","[1, 1, -1, 1, 1, 1, 1, -1, 1, -1]","[1.0, 0.998796188646067, 0.9969930688414645, 0.9922747904029836, 0.9930258163166292, 0.9840333654266089, 0.9684566797246235, 0.9514611059479591, 0.9131928457277743, 0.8495082824989466, 0.7956704623532662]"
142,"[1086, 8897, 3864, 8588, 4304, 1594, 7682, 1566, 4402, 9201]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9828588904051928, 0.9820819970349619, 0.9371467675889722, 0.8814786999618969, 0.8116963023737426, 0.8141874369438677, 0.7902230914098841, 0.7739050304764837, 0.7277331466207351, 0.69816474514227]"
143,"[1592, 5032, 6159, 3791, 1785, 3552, 2883, 6988, 176, 3134]","[1, 1, 1, 1, 1, 1, 1, 1, -1, -1]","[1.0, 0.9969987536126157, 0.9922689498729785, 0.9848180472510586, 0.9796143805816948, 0.9755346334211688, 0.9570685119142331, 0.942204679526655, 0.9188049104967555, 0.8771192962525051, 0.8122888902499179]"
144,"[3596, 8330, 2445, 1700, 5138, 8920, 3940, 6077, 9885, 5404]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9981613696568712, 0.9963934701988286, 0.9955537928347571, 0.9947449645924051, 0.9804136852563882, 0.9768607696817704, 0.9600860887340769, 0.9312354268414271, 0.9045628245829539, 0.8698001315135993]"
145,"[2879, 9809, 2539, 3309, 3091, 1980, 3595, 4528, 6959, 4881]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9964275220833833, 0.9892939617061753, 0.9830520885791831, 0.912442018625344, 0.8488155492979641, 0.7869437091382439, 0.7717741098018309, 0.7016328226620748, 0.7040369294865514, 0.6925181774425152]"
146,"[8720, 4556, 3561, 1050, 5368, 7512, 3181, 2653, 2049, 4455]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.998183849943419, 0.9934482238270288, 0.9854419451143827, 0.9619598709466093, 0.9586943578404867, 0.9354716662240958, 0.9110974704306931, 0.848937038622825, 0.8407110044993688, 0.7867456336501994]"
147,"[7482, 2310, 2732, 4860, 353, 3608, 8007, 9561, 2580, 1560]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9946069648690372, 0.9928213799780738, 0.9892704051542291, 0.9746997074252107, 0.9335104646304442, 0.8913740438899358, 0.8508975380793131, 0.8336997063691136, 0.8022204986150727, 0.7551159550660576]"
148,"[2237, 3304, 4345, 8722, 214, 1109, 7468, 2086, 3742, 752]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9898118147538997, 0.9759703507327195, 0.9652244655421662, 0.9592567857109042, 0.9007187681121821, 0.8961928993545176, 0.8582174066761079, 0.8030517762172471, 0.7486079241986854, 0.6839007364021984]"
